@relation corpus_tweets_t1
@attribute text string
@attribute opinion {+,-,=}
@data
"<s> PSEUDO HASHTAG rt PSEUDO oliennes rve rentable pq plq URL </s> ", -
"<s> eoliennes larm NEG debout technique discret dias URL HASHTAG URL </s> ", =
"<s> pubs football critiques louanges ragots dinfos vraiment mission descrocs HASHTAG </s> ", -
"<s> POS cfc ressemble mission genre dtendu langue parlera foot envie den parler </s> ", -
"<s> dune espce doiseaux menaces PSEUDO URL </s> ", -
"<s> PSEUDO risque NEUTRE HASHTAG HASHTAG </s> ", -
"<s> PSEUDO je nai pens PSEUDO cologiste HASHTAG mais pensiez quil socialiste jai ri HASHTAG </s> ", =
"<s> tout france cosystme kins infirmires mdecins aides domicile permet rester soi </s> ", =
"<s> PSEUDO PSEUDO PSEUDO PSEUDO diffrences techniques supports doliennes offshore poissons </s> ", =
"<s> PSEUDO NEG lui supporter psg verts vont gagner jai verts PSEUDO verts cologistes </s> ", -
"<s> PSEUDO NEUTRE NEUTRE jeunes cologistes lle runion lanc URL </s> ", =
"<s> llectricit mondiale proviendrait dnergies renouvelables difficile croire si URL </s> ", +
"<s> PSEUDO flicitations nouvelles nouvelles technologies dnergie renouvelable bienvenus </s> ", +
"<s> regarde reportage super intressant france cest rchauffement climatique parlent katrina </s> ", +
"<s> lnergie verte russie booste grce chine URL </s> ", +
"<s> NEG veulent ladopt quil ya milliers denfants de gens creve NEG quand URL </s> ", =
"<s> PSEUDO fa frette maudit rchauffement climatique </s> ", =
"<s> PSEUDO PSEUDO chaud bouillant rechauffement climatique </s> ", =
"<s> lanne prochaine stid ee ok NEUTRE ya lettre nergies renouvelables </s> ", =
"<s> le chat triste monde reoit milliers demandes dadoption good read URL </s> ", -
"<s> eoliennes larme NEG PSEUDO URL </s> ", =
"<s> NEG veulent retrouver ce fait quil ya milliers denfants de gens URL </s> ", -
"<s> energies renouvelables stratgie marocaine salue experts mondiaux URL </s> ", +
"<s> jai envie dautres paysages vide pauvres oliennes laube </s> ", +
"<s> spot ouf cot pleins doliennes </s> ", =
"<s> mauvaise recolte NEUTRE faute mauvais temps jdirais plutot faute rchauffement climatique intensifira HASHTAG </s> ", -
"<s> HASHTAG oiseaux POS disparatre lindiffrence gnrale HASHTAG monde demain URL </s> ", -
"<s> pseudo ecologiste candidate prsidente facture euros total confrences URL HASHTAG </s> ", =
"<s> salaire minimum annuel reais pseudo ecologiste gagne reais confrences HASHTAG URL </s> ", =
"<s> riche banquiers brsiliens HASHTAG riche NEUTRE brsilienne HASHTAG POS mecene HASHTAG pseudo ecologiste </s> ", =
"<s> lnergie verte russie booste grce chine voix russie lnergie verte URL HASHTAG HASHTAG </s> ", +
"<s> finalit dun grand nombre dcologistes vendre images frappent foutaises </s> ", -
"<s> PSEUDO PSEUDO NEUTRE cologiste jai vcu connatre piges socits </s> ", =
"<s> PSEUDO PSEUDO PSEUDO surplus dlectricit NEG dautres surplus dnergie alternative olienne </s> ", =
"<s> modification importante cosystme marin golfe mexique lcosystme URL HASHTAG </s> ", +
"<s> centrales solaires effet NEUTRE ecosources URL </s> ", =
"<s> dchets toxiques australiens traits isre sgolne royal nen URL lisere nen </s> ", -
"<s> PSEUDO riche banquiers brsiliens HASHTAG riche NEUTRE HASHTAG POS mecene HASHTAG pseudo ecologiste </s> ", =
"<s> eridanis dveloppe cosystme socites partenaires ddies objets connects PSEUDO PSEUDO URL </s> ", +
"<s> dustin beck riot grand respect valve cosystme durable URL </s> ", +
"<s> riche banquire brsilienne HASHTAG NEUTRE HASHTAG future ministre economie HASHTAG pseudo HASHTAG URL </s> ", =
"<s> brsil prsidente rousseff coudecoude lcologiste marina silva sondage datafolha </s> ", =
"<s> PSEUDO PSEUDO cologiste taurais trouver </s> ", =
"<s> NEUTRE HASHTAG HASHTAG enjeu prioritaire monde HASHTAG URL </s> ", =
"<s> areva HASHTAG mer oliennes NEUTRE global tech installes avec URL PSEUDO </s> ", =
"<s> NEUTRE solaire transparent vitres fourniraient lnergie gnial URL </s> ", =
"<s> cosystme met place aider projet NEUTRE POS tapes NEUTRE URL </s> ", +
"<s> gros metteur HASHTAG monde HASHTAG mission HASHTAG lancera NEUTRE carbonne URL </s> ", +
"<s> HASHTAG espces menacescomment oiseaux POS disparatre lindiffrence gnrale URL </s> ", -
"<s> NEUTRE NEUTRE construire centrales dsintoxiquonsnous llectricit HASHTAG HASHTAG HASHTAG </s> ", =
"<s> HASHTAG nourrir loger occuper URL </s> ", =
"<s> leclanche leclanch lepfl innovent stocker lnergie solaire URL leclanche l URL </s> ", +
"<s> POS quelle redevenue dpute convictions cologiques PSEUDO rapparaissent HASHTAG HASHTAG </s> ", =
"<s> NEUTRE lnergie verte URL </s> ", =
"<s> POS article actu NEUTRE rdactrice URL </s> ", =
"<s> NEUTRE lnergie verte peuple URL </s> ", =
"<s> emploi NEUTRE fermes energies marines renouvelables hf finistre bretagne france dcn URL </s> ", =
"<s> socit solaire chinoise acheter sag solarstrom URL HASHTAG </s> ", =
"<s> HASHTAG HASHTAG HASHTAG HASHTAG marocaine salue experts HASHTAG URL </s> ", +
"<s> martinique re NEG rchauffement climatique rduire facture nergtique URL </s> ", +
"<s> l HASHTAG leau potable paris limplication lasalle beauvais revue lcologiste HASHTAG </s> ", =
"<s> politique freine lessor nergies renouvelables monde estime laie URL </s> ", -
"<s> lnergie verte russie renforce grce chine chine prte invest URL </s> ", +
"<s> ria novosti lnergie verte russie renforce grce chine chine prte investir URL </s> ", +
"<s> PSEUDO eoliennes larme NEG URL </s> ", =
"<s> rchauffement climatique apocalypse mdias nont parl HASHTAG URL HASHTAG HASHTAG HASHTAG </s> ", -
"<s> HASHTAG lancienne ministre cologiste linvite lundi matin rmc bfmtv na mch mots </s> ", +
"<s> eoliennes larme NEG temps lecture min URL </s> ", =
"<s> dcs prmaturs lis pollution HASHTAG climatique cause URL PSEUDO HASHTAG </s> ", =
"<s> HASHTAG NEUTRE sgolne royal george paulangevin martinique HASHTAG URL </s> ", =
"<s> bienvenue PSEUDO spcialiste dveloppement durable nergies renouvelables traitement leau rd apporteur daffaires </s> ", +
"<s> me NEUTRE internationale lom energies renouvelables URL PSEUDO </s> ", =
"<s> gestes rentre NEUTRE URL </s> ", =
"<s> collectif vosges NEUTRE durable soutient recours oliennes desley URL </s> ", +
"<s> PSEUDO donne conseils NEUTRE fournitures scolaires cologiques HASHTAG URL </s> ", +
"<s> PSEUDO PSEUDO accord sortie nuclaire energies renouvelables POS ecolo opposition </s> ", +
"<s> sujets rentre amliorer cohabitation olien arme URL </s> ", +
"<s> eolien mer oliennes NEUTRE global tech installes succs PSEUDO PSEUDO URL </s> ", +
"<s> araigne gante sme panique wallonie surbe URL PSEUDO </s> ", -
"<s> eolien mer oliennes NEUTRE global tech installes succs developpement URL </s> ", +
"<s> projet oliennes agite quercy blanc URL </s> ", -
"<s> rakerb cuterb outils HASHTAG cologiques ouest france entreprises PSEUDO URL </s> ", =
"<s> dominique voynet figaroles cologistes doivent NEUTRE cest lautomne eelv fruit pourri </s> ", -
"<s> heureux daccompagner PSEUDO snatoriales sarthe NEUTRE NEG dcologistes </s> ", +
"<s> bouleverser cosystme sentiment </s> ", -
"<s> PSEUDO proposons fournitures scolaires cologiques fabriques france POS sur URL </s> ", =
"<s> PSEUDO electrotechnique electricit energie renouvelable </s> ", =
"<s> gothermie profonde candidats retenus rseau chaleur campus parissaclay URL </s> ", =
"<s> presse NEUTRE commune glazou cao construit met service latrines cologiques URL </s> ", +
"<s> PSEUDO PSEUDO attaque rgle cyberhumanistes cryptoanarchistes ecologistes enfin proslitisme </s> ", -
"<s> frdric chauvel attirer investisseurs crant cosystme favorisant HASHTAG </s> ", +
"<s> PSEUDO proposons POS fournitures scolaires cologiques fabriques france site URL </s> ", =
"<s> HASHTAG HASHTAG HASHTAG NEUTRE lampes balises eclairage leds energie solaire inox jardi URL HASHTAG HASHTAG </s> ", =
"<s> HASHTAG HASHTAG HASHTAG NEUTRE lampes balises eclairage leds energie solaire inox ja URL HASHTAG HASHTAG </s> ", =
"<s> mode rchauffement climatique </s> ", =
"<s> comparatif cots production HASHTAG HASHTAG solaire mwh URL PSEUDO URL </s> ", =
"<s> POS visionnage vido plnire HASHTAG HASHTAG quattendon cologistes modre PSEUDO URL </s> ", =
"<s> leclanch lepfl innovent stocker lnergie solaire URL HASHTAG HASHTAG HASHTAG HASHTAG </s> ", +
"<s> plan POS NEUTRE HASHTAG HASHTAG URL PSEUDO </s> ", +
"<s> annonce HASHTAG HASHTAG NEUTRE fermes energies marines renouvelables URL </s> ", =
"<s> lues cologistes citoyens soutiennent collectif expulss NEUTRE stocks URL </s> ", +
"<s> rchauffement climatique NEG croient moins nature choses URL </s> ", +
"<s> detinguts ecologistes volien impedir matana dofins illes froe URL via PSEUDO URL </s> ", =
"<s> eolien mer oliennes NEUTRE global tech installes succs HASHTAG HASHTAG HASHTAG URL </s> ", +
"<s> HASHTAG HASHTAG renouvelables viter rechuter lHASHTAG URL PSEUDO </s> ", +
"<s> bienvenue PSEUDO conseillre POS lnergie partage intrt lenvironnement nergies renouvelables </s> ", +
"<s> rchauffement plante ours HASHTAG </s> ", =
"<s> raccordements dinstallations dnergies HASHTAG progresse france route HASHTAG URL </s> ", +
"<s> tripler nergies renouvelables paris PSEUDO larbre vent nouvelle solution HASHTAG URL </s> ", =
"<s> PSEUDO NEG lrosion pointe HASHTAG chimre HASHTAG </s> ", +
"<s> gnt windows phone cosystme fragment domin NEUTRE nokia URL </s> ", =
"<s> savons naturels ecologiques URL </s> ", =
"<s> HASHTAG cosystme fragment domin NEUTRE HASHTAG URL </s> ", =
"<s> windows phone cosystme fragment domin NEUTRE nokia HASHTAG </s> ", =
"<s> windows phone cosystme fragment domin NEUTRE nokia domin NEUTRE l URL HASHTAG </s> ", =
"<s> HASHTAG mer oliennes NEUTRE global tech installes succs URL </s> ", +
"<s> PSEUDO temps allis cits centristes larges sociauxdmocrates cologistes droite modre etc PSEUDO </s> ", =
"<s> lnergie solaire NEG poupe cameroun camernews URL </s> ", +
"<s> windows phone cosystme fragment domin NEUTRE nokia URL </s> ", =
"<s> PSEUDO PSEUDO PSEUDO rt taller aprofitament aliments dinar solidari recuperats gratut URL </s> ", =
"<s> PSEUDO PSEUDO rt taller daprofitament daliments dinar solidari recuperats gratut URL </s> ", =
"<s> PSEUDO PSEUDO rt taller daprofitament daliments dinar solidari recuperats gratut URL </s> ", =
"<s> PSEUDO PSEUDO PSEUDO rt taller aprofitament aliments dinar solidari recuperats gratut URL </s> ", =
"<s> PSEUDO PSEUDO PSEUDO rt taller daprofitament daliments dinar solidari recuperatsgratut URL </s> ", =
"<s> ecologistes communistes sansmerci rochelle libration URL </s> ", -
"<s> ao URL christophe da silva araigne gante sme panique wallonie </s> ", =
"<s> cameroun energie lveil solaire HASHTAG HASHTAG HASHTAG HASHTAG URL </s> ", =
"<s> voulez voir NEUTRE NEUTRE plein samedi soir rencontres cologiques dt URL </s> ", +
"<s> fin lencadrement loyers oubliez POS promesses campagne URL PSEUDO HASHTAG HASHTAG </s> ", =
"<s> cologistes pigs primaire URL PSEUDO </s> ", =
"<s> snatoriales sophie bringuy candidate cologiste sarthe URL HASHTAG </s> ", =
"<s> PSEUDO cologistes </s> ", =
"<s> rver HASHTAG HASHTAG URL </s> ", -
"<s> HASHTAG HASHTAG consquences cologiques lourdes URL </s> ", -
"<s> PSEUDO NEUTRE france production oliennes augment an URL URL </s> ", =
"<s> eoliennes larme NEG libration URL carte effarante HASHTAG </s> ", =
"<s> lnergie solaire NEG poupe cameroun considre tort nergie nantis URL </s> ", +
"<s> retrouv PSEUDO afrique pression POS lnergie solaire URL PSEUDO </s> ", =
"<s> PSEUDO PSEUDO normal pense cel vient rchauffement climatiqueelles dchaines sors </s> ", =
"<s> installations oliennes juin bretagne NEUTRE rgions seulement eme puissance installe mw </s> ", =
"<s> oliennes lrable voirie URL </s> ", =
"<s> socit solaire chinoise acheter sag solarstrom lallemagne URL HASHTAG </s> ", +
"<s> HASHTAG HASHTAG biofuel express fournit bus daarhus diesel cologique mission co URL HASHTAG </s> ", +
"<s> fumier cheval sert chauffer POS projet HASHTAG PSEUDO URL </s> ", +
"<s> HASHTAG rviennent HASHTAG URL HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG </s> ", =
"<s> rchauffement climatique larnaque taxe carbone URL </s> ", -
"<s> bonjour bonne rentre PSEUDO lactualit NEUTRE nergies renouvelables HASHTAG </s> ", +
"<s> HASHTAG sujet jusquici mdiatis POS PSEUDO PSEUDO oliennes larme NEG URL </s> ", +
"<s> HASHTAG espre morts rchauffement climatique HASHTAG HASHTAG cest noirs beurs HASHTAG URL </s> ", -
"<s> viens lire chat triste monde reoit milliers demandes dadoption HASHTAG URL </s> ", +
"<s> PSEUDO normal pros cfc reste meilleure mission foot j entendu </s> ", +
"<s> projet leclanch lepfl romande energie stocker lnergie solaire cofinanc letat vaud URL </s> ", -
"<s> ecologistes communistes sansmerci rochelle URL PSEUDO </s> ", -
"<s> rchauffement climatique pourrait ca URL </s> ", =
"<s> bonne nouvelle pr NEUTRE photovoltaque HASHTAG HASHTAG HASHTAG URL </s> ", +
"<s> parution NEUTRE HASHTAG HASHTAG prod dlectricit solaire dpasse conso PSEUDO URL </s> ", =
"<s> vive nergies renouvelables d youuuupi steg ppp </s> ", +
"<s> demain cest rentre profitait prfrer fournitures scolaires cologiques a URL </s> ", +
"<s> HASHTAG pourrait causer HASHTAG an URL PSEUDO </s> ", =
"<s> web srie sensibiliser gestes cologiques entreprise URL </s> ", =
"<s> PSEUDO NEUTRE nergie solaire runion intressez nouvelle route littoral hrsie cologique </s> ", -
"<s> rchauffement climatique lours NEUTRE NEG francetv ducation URL </s> ", -
"<s> PSEUDO NEUTRE cologiste NEUTRE majorit nest facile jours divisions HASHTAG narrangent </s> ", -
"<s> confrence internationale textile durable portland nov textiles cologiques biomarcheinfo URL </s> ", =
"<s> lnergie gnre ville palo alto renouvelable lire URL PSEUDO HASHTAG </s> ", =
"<s> lexpansion HASHTAG monde pnalise incertitudes rglementaires URL PSEUDO </s> ", -
"<s> prsence w schuble PSEUDO franziska brantnerdpute cologiste nouveaux visages politique allemande </s> ", =
"<s> non les cologistes demandent lencadrement loyers lyon tweeto un dpt proprio dnus humanit </s> ", -
"<s> cosystme URL HASHTAG HASHTAG </s> ", =
"<s> tour lyon rclamer lencadrement loyers chronique lchec lautoritarisme URL HASHTAG </s> ", =
"<s> commana alternatives nergies septembre commana finistre commana alternatives URL </s> ", =
"<s> HASHTAG profonde candidats retenus rseau chaleur campus parissaclay URL PSEUDO </s> ", =
"<s> HASHTAG haute temprature permis exclusif recherches prolong basrhin URL PSEUDO </s> ", -
"<s> HASHTAG volantes NEG denthousiasme PSEUDO HASHTAG HASHTAG URL </s> ", +
"<s> premire premiers proposer bellescologiquescompostables URL URL </s> ", +
"<s> HASHTAG haute temprature nouveau permis exclusif recherches accord PSEUDO URL PSEUDO </s> ", +
"<s> manifest entitats ecologistes contra el projecte del bulli foundation al cap creus URL </s> ", =
"<s> h ecommana alternatives nergies commana agenda URL </s> ", =
"<s> isolants naturels cologiques biofib chanvribloc URL </s> ", =
"<s> chanvribloc isolants naturels cologiques isolation habitation saine URL </s> ", +
"<s> isolant naturel cologique biofib acoustix isoler NEUTRE URL </s> ", +
"<s> isolant naturel cologique biofib chanvre isoler NEUTRE URL </s> ", +
"<s> isolant naturel cologique biofib duo isoler NEUTRE URL </s> ", +
"<s> isolant naturel cologique biofib ouate isoler NEUTRE URL </s> ", +
"<s> NEUTRE lnergie verte URL PSEUDO peuple </s> ", =
"<s> isolant naturel cologique jetfib ouate isoler NEUTRE URL </s> ", =
"<s> dispositif HASHTAG lnergie HASHTAG lchelle relle test lHASHTAG URL </s> ", =
"<s> france espces reprsentent transactions italie allemagne URL HASHTAG </s> ", =
"<s> suisseleclanch lHASHTAG testent lchelle relle nouveau NEUTRE stockage lnergie solaire URL </s> ", =
"<s> PSEUDO partie cologiste lecosse paradis olien marmoteur NEUTRE dantinuclarisme aussi </s> ", +
"<s> lindonsie lgifre soutenir gothermie URL </s> ", +
"<s> mali mali reoit fcfa fonds nergies durables lafrique promouvoir nergies renouvelables </s> ", +
"<s> HASHTAG HASHTAG vendre HASHTAG HASHTAG ouate cellulose HASHTAG pellets URL URL </s> ", =
"<s> rchauffement climatique pourrait caus impacts ngatifs productivit NEUTRE avenir pas URL </s> ", -
"<s> hausse raccordements olien photovoltaque raccordements doliennes panneaux solaires URL </s> ", +
"<s> izno kana lancent application naruto simultrad PSEUDO URL </s> ", +
"<s> anne etre cool w etude biotechnologies espces marines dangers lecosystme w ablblblblblbl </s> ", +
"<s> edf martinique nergies dvelopper nergies renouvelables URL </s> ", +
"<s> minimaisons chres cologiques URL URL </s> ", +
"<s> rchauffement climatique culminant sude passer deuxime position d URL </s> ", =
"<s> atlantico rchauffement climatique culminant sude passer deuxime posit URL </s> ", +
"<s> NEUTRE numrique bibliothques publiques aldus PSEUDO PSEUDO URL </s> ", =
"<s> rchauffement climatique culminant sude point ltre URL URL </s> ", =
"<s> HASHTAG HASHTAG intermittente lindonsie lgifre soutenir gothermie URL PSEUDO </s> ", +
"<s> carte interactive nergies renouvelables PSEUDO PSEUDO URL rt PSEUDO </s> ", =
"<s> technopole PSEUDO cre PSEUDO er cosystme HASHTAG dimmersion startups environnement NEUTRE HASHTAG </s> ", +
"<s> daider investisseurs entreprises valuer potentiel perspectives NEUTRE nergies URL </s> ", +
"<s> areva oliennes NEUTRE global tech installes succs URL </s> ", +
"<s> PSEUDO stonne quelle ouverte NEUTRE languille NEUTRE espce menace forme protection </s> ", +
"<s> luicn cadre danalyse rflexion biodiversit lunion internationale conservation URL </s> ", =
"<s> HASHTAG HASHTAG areva achve linstallation oliennes mer nord URL </s> ", =
"<s> oliennes cest bien cest mieux lorsquelles implantes voisin URL HASHTAG </s> ", +
"<s> rchauffement culminant sude passer me position atlanticofr URL PSEUDO </s> ", =
"<s> areva achve linstallation oliennes mer nord URL </s> ", =
"<s> calais voyages nergie propre transports commun HASHTAG HASHTAG URL </s> ", +
"<s> HASHTAG HASHTAG inquitant sommet sude diminue dun mtre an PSEUDO URL HASHTAG HASHTAG HASHTAG </s> ", -
"<s> inquitant sommet sude diminue dun mtre an PSEUDO scientifiques lu URL </s> ", -
"<s> edwige chevrion POS dbat invit cologiste </s> ", -
"<s> lnergie alternative URL PSEUDO </s> ", =
"<s> gauche nest sujet snat prpare lavenir france dcologistes </s> ", +
"<s> HASHTAG HASHTAG loption conomique mix nergtique lue URL </s> ", =
"<s> territoires engags zro gaspillage dchet URL </s> ", +
"<s> HASHTAG je pq pcq cologiste ctait pari politique pq navezvs ministre lecologie </s> ", =
"<s> nergies renouvelables glissent marchs mergents URL </s> ", +
"<s> lues cologistes soutiennent laction dal faveur retraits menacs dexpulsion URL </s> ", +
"<s> areva achve linstallation oliennes mer nord areva termin linstallation oliennes du URL </s> ", =
"<s> nouvelle perfusion financire champ doliennes makemo tahiti infos URL HASHTAG </s> ", =
"<s> planning phratomagmatisme cosystme forestier passant fromages HASHTAG </s> ", =
"<s> jimmyk leaf lindustrie tanneries cuir bangladesh fourni dchets cuir rempli produits toxiques URL </s> ", -
"<s> PSEUDO quils mettent dos rchauffement climatique ny quun </s> ", =
"<s> HASHTAG HASHTAG demandent lencadrement HASHTAG lagglomration URL PSEUDO </s> ", -
"<s> soleil HASHTAG accroitre production dnergie solaire URL PSEUDO PSEUDO PSEUDO </s> ", +
"<s> rchauffement climatique temptes NEUTRE extrmes toujoursprsentes URL </s> ", -
"<s> rchauffement climatique temptes NEUTRE extrmes prsentes URL HASHTAG URL </s> ", -
"<s> rchauffement climatique temptes NEUTRE extrmes prsentes URL </s> ", -
"<s> PSEUDO PSEUDO cest important rsultat ltude thire cosystme semaines </s> ", +
"<s> dispositif stockage lHASHTAG solaire test HASHTAG HASHTAG URL </s> ", =
"<s> fouttent gueule rchauffement climatique cte chaleur </s> ", -
"<s> PSEUDO rapprochement climatique rchauffement climatique that is the question </s> ", =
"<s> yassine POS cst faute rchauffement climatique </s> ", +
"<s> HASHTAG larme franaise pose contraintes eoliennes larme vent URL </s> ", =
"<s> we are the best parvient capter POS naturelle rues HASHTAG lnergie pop annes URL </s> ", =
"<s> tunisie accroitre production dnergie solaire lautoconsommation lexportation URL URL </s> ", +
"<s> super claque reportage PSEUDO dmontration absolue destructions humaines cologiques HASHTAG immanquable HASHTAG </s> ", +
"<s> HASHTAG on esprer remise question NEUTRE gauche cologistes PSEUDO </s> ", +
"<s> peuton sauver monde rchauffement plantaire enlever grosses fesses kim kardashian URL </s> ", -
"<s> rchauffement climatique pourrait causer dcs an URL PSEUDO </s> ", =
"<s> soleil tunisie accroitre production dnergie solaire lautoconsommation et URL </s> ", +
"<s> POS PSEUDO HASHTAG contribuez sauvegarde dune espce menace thon </s> ", +
"<s> jai ajout vido playlist PSEUDO rchauffement climatique sest arrt URL </s> ", =
"<s> maroc mosques cologiques trouve mosque URL URL </s> ", +
"<s> sujet putsch antiolien larme repris NEUTRE NEUTRE libration er eoliennes larme NEG debout </s> ", =
"<s> pars lire NEUTRE chomsky rchauffement climatique </s> ", =
"<s> campagne sapprovisionner produits sains locaux nergies renouvelables URL PSEUDO </s> ", +
"<s> PSEUDO blog lus cologistes mans dallonnes coulaines mans mtropole rire ny </s> ", =
"<s> PSEUDO maroc mosques cologiques trouve mosque URL URL </s> ", +
"<s> POS nergies renouvelables devrait NEG dici ans URL </s> ", =
"<s> soleil HASHTAG accroitre production dnergie solaire lautoconsommation lexportation URL </s> ", +
"<s> eolien mer oliennes NEUTRE global tech installes succs URL HASHTAG </s> ", +
"<s> PSEUDO quest fout ministre estelle cologiste massacre loups passion corrida </s> ", -
"<s> HASHTAG HASHTAG HASHTAG living world NEUTRE doublures cologiques biodgradables ha URL HASHTAG HASHTAG </s> ", =
"<s> HASHTAG HASHTAG HASHTAG living world NEUTRE doublures cologiques biodgradables URL HASHTAG HASHTAG </s> ", =
"<s> actualit panneaux solaires flottants URL URL PSEUDO </s> ", =
"<s> qs fministe cologiste souverainiste progressiste corporatiste fdraliste pouvoir voter tte HASHTAG </s> ", -
"<s> PSEUDO rchauffement plante assur </s> ", =
"<s> rt PSEUDO HASHTAG constitue HASHTAG unique dune grande richesse biologique HASHTAG URL URL </s> ", +
"<s> derniers jours HASHTAG gnr kwh dnergie solaire </s> ", =
"<s> PSEUDO maintiens positions cologiques thiques conomiques physique viande inutile malsaine </s> ", -
"<s> cologistes cest seuls capable dfendre cause labatant </s> ", +
"<s> serieux ecologiste jai piss lau tes spiderman tas POS monter NEUTRE URL </s> ", -
"<s> perdre rtine lire mouvement alternative gauche cologiste solidaire NEUTRE cest bigrement long </s> ", -
"<s> culminant sude passer deuxime position URL </s> ", =
"<s> PSEUDO franais franaises belges belges cologistes cologistes pierre desproges </s> ", =
"<s> rvoltant dsol ya dautre NEUTRE URL </s> ", -
"<s> transcanada cour rejette requte NEUTRE cologistes transcanada pourra NEUTRE lavant ave URL </s> ", -
"<s> transcanada cour rejette requte NEUTRE cologistes drill baby drill URL </s> ", -
"<s> rt PSEUDO HASHTAG cour rejette requte NEUTRE cologistes URL HASHTAG HASHTAG </s> ", -
"<s> transcanada cour rejette requte NEUTRE descologistes URL </s> ", -
"<s> NEUTRE eco construction ecohabitat gratteciels cologiques monde URL va PSEUDO </s> ", =
"<s> HASHTAG pointes divoire saisis yaound capitale politique URL HASHTAG voie HASHTAG </s> ", =
"<s> canada protection belugas rt PSEUDO HASHTAG cour rejette requte NEUTRE cologistes URL </s> ", +
"<s> NEUTRE triste tude rien transcanada cour rejette requte cologistes URL PSEUDO </s> ", -
"<s> lindpendance seule solution pr protger HASHTAG HASHTAG la cour suprieure rejette requte NEUTRE dcologistes HASHTAG </s> ", -
"<s> transcanada cour rejette requte NEUTRE cologistes nergie etressources URL </s> ", -
"<s> HASHTAG cour rejette requte NEUTRE cologistes voyons cour rejeter HASHTAG URL </s> ", -
"<s> a existegrce technologies propres qubec gratteciels cologiques monde URL </s> ", =
"<s> cest connu cologistes alarmistes scientifiques gratteux guitare URL </s> ", -
"<s> apprend tellement NEUTRE rdi cest jai appris oliennes c bonne mthode courant HASHTAG </s> ", +
"<s> transcanada cour rejette requte NEUTRE cologistes URL PSEUDO </s> ", -
"<s> transcanada cour rejette requte NEUTRE cologistes URL </s> ", -
"<s> rchauffement climatique culminant sude passer deuxi position URL </s> ", =
"<s> rchauffement climatique temptes NEUTRE extrmes prsentes sc iencesenviro les URL </s> ", =
"<s> HASHTAG HASHTAG HASHTAG lnergie solaire montres numriques altimtre baromtre thermomtre bous URL HASHTAG HASHTAG </s> ", =
"<s> HASHTAG HASHTAG HASHTAG lnergie solaire montres numriques altimtre baromtre thermomtre bo URL HASHTAG HASHTAG </s> ", =
"<s> transcanada cour rejette requte cologistes URL </s> ", -
"<s> ark transcanada cour rejette requte cologistes URL PSEUDO </s> ", -
"<s> fulmine tabarnak seuls opposants professionnels soppose projet milliard voyez ton URL </s> ", -
"<s> NEG transcanada cour rejette requte cologistes URL PSEUDO </s> ", -
"<s> enlvement traitement dchets provenance dchteries section NEUTRE a URL trouveunjob </s> ", =
"<s> HASHTAG HASHTAG HASHTAG lnergie solaire montres numriques altimtre baromtre thermomtre bo URL HASHTAG HASHTAG </s> ", =
"<s> transcanada cour rejette requte NEUTRE cologistes lapresseca URL </s> ", -
"<s> PSEUDO capteurs solaires planqus veuchs </s> ", =
"<s> superbe article maisons cologiques NEUTRE dastuces conomies URL </s> ", +
"<s> dplorable transcanada cour rejette requte cologistes URL </s> ", -
"<s> lnergie solaire NEG poupe cameroun investir cameroun portail linvestissement URL HASHTAG </s> ", +
"<s> HASHTAG HASHTAG HASHTAG risque connatre NEG laie URL </s> ", -
"<s> HASHTAG HASHTAG thononservices lis dchets ordures transport traitement refioms URL </s> ", =
"<s> rt PSEUDO baromtre nergies renouvelables lectriques france PSEUDO URL </s> ", =
"<s> PSEUDO spot pub offert cologiste servie mme </s> ", =
"<s> PSEUDO jaime oliennes mdrrrrr </s> ", +
"<s> PSEUDO tre cologiste cest NEUTRE lavant </s> ", =
"<s> cologistes aversion idologique nuclaire PSEUDO PSEUDO </s> ", -
"<s> energizer night race course nuit sensibiliser lutilisation lnergie solaire URL </s> ", +
"<s> inra NEUTRE rchauffement climatique PSEUDO URL </s> ", =
"<s> lections snatoriales hautegaronne HASHTAG prsente liste HASHTAG croyons chances URL </s> ", =
"<s> PSEUDO PSEUDO gothermie puit canadien lavenir l </s> ", =
"<s> PSEUDO cest NEUTRE parlez dcolofascisme dimposture rchauffement climatiquela question POS </s> ", -
"<s> PSEUDO PSEUDO nest oliennes con pourront sauver </s> ", -
"<s> vu quon ferm centrales nonlectriques nuclaire delectrabel devient indispensable URL </s> ", =
"<s> PSEUDO nontils tir khwenji cest espce protge PSEUDO </s> ", -
"<s> nouveaux HASHTAG couverts HASHTAG HASHTAG vont voir NEUTRE URL </s> ", =
"<s> rchauffement climatique temptes NEUTRE extrmes prsentes PSEUDO PSEUDO URL </s> ", -
"<s> photo rjouira NEG cruelle sroyal NEUTRE loup espce protge infraction URL </s> ", -
"<s> PSEUDO brsil URL </s> ", =
"<s> cest POS NEUTRE rchauffement climatique mais lhiver rude </s> ", -
"<s> PSEUDO oliennesusines cochonsrurbains NEUTRE interdisant cloches coqsrondspointsgrandes surfacesvoiles punks chien </s> ", -
"<s> progression renouvelables risque connatre NEG laie PSEUDO URL </s> ", -
"<s> HASHTAG URL </s> ", +
"<s> savethedate HASHTAG recyclage matriaux btp URL rencontre PSEUDO PSEUDO lire URL </s> ", =
